MSN,Ten,Desc
1,Vi khuẩn Ideonella sakaiensis,Vi khuẩn I.sakaiensis sử dụng lần lượt PETase và MHETase để sinh ra năng lượng phục vụ nó
1,Enzyme PETase,Tác dụng với PET tạo ra MHET 
1,Enzyme MHETase ,"Tác dụng với MHET tạo ra glycol và terephthalic acid, 2 chất dễ phân hủy bởi một số vi sinh vật hoặc có thể được dùng tái sản xuất PET"
1,Enzymeleaf-branch compost cutinase (LCC),Hiệu quả 33 lần hơn Enzyme PETase
7,Pestalotiopsis microspora,Tiêu hóa nhựa PU
1,Indianmeal moth,Tiêu hóa nhựa PE
1,Galleria mellonella,Tiêu hóa nhựa PE
7,Aspergillus tubingensis,Phân hủy PU
4,Bacillus pseudofirmus (đổi 2020 Alkalihalobacillus pseudofirmus) ,Phân hủy LDPE
7,Exiguobacterium sibiricum,Ăn PS
7,Exiguobacterium undrae,Ăn PS
4,Waxworm(sâu sáp),ăn LDPE
7,mealworms,Phân hủy PS
7,Paenarthrobacter ureafaciens (Nylon-eating bacteria),Tiêu hóa Nylon 6
4,Salipaludibacillus agaradhaerens,Phân hủy LDPE
